id,qid1,qid2,sentence1,sentence2,is_duplicate
0,1,2,A plane is taking off.,An air plane is taking off.,1
1,3,4,A man is playing a large flute.,A man is playing a flute.,1
2,5,6,A man is spreading shreded cheese on a pizza.,A man is spreading shredded cheese on an uncooked pizza.,1
3,7,8,Three men are playing chess.,Two men are playing chess.,1
4,9,10,A man is playing the cello.,A man seated is playing the cello.,1
5,11,12,Some men are fighting.,Two men are fighting.,1
6,13,14,A man is smoking.,A man is skating.,0
7,15,16,The man is playing the piano.,The man is playing the guitar.,0
8,17,18,A man is playing on a guitar and singing.,A woman is playing an acoustic guitar and singing.,1
9,19,20,A person is throwing a cat on to the ceiling.,A person throws a cat on the ceiling.,1
10,21,22,The man hit the other man with a stick.,The man spanked the other man with a stick.,1
11,23,24,A woman picks up and holds a baby kangaroo.,A woman picks up and holds a baby kangaroo in her arms.,1
12,25,26,A man is playing a flute.,A man is playing a bamboo flute.,1
13,27,28,A person is folding a piece of paper.,Someone is folding a piece of paper.,1
14,29,30,A man is running on the road.,A panda dog is running on the road.,0
15,31,32,A dog is trying to get bacon off his back.,A dog is trying to eat the bacon on its back.,1
16,33,34,The polar bear is sliding on the snow.,A polar bear is sliding across the snow.,1
17,35,36,A woman is writing.,A woman is swimming.,0
18,37,38,A cat is rubbing against baby's face.,A cat is rubbing against a baby.,1
19,39,40,The man is riding a horse.,A man is riding on a horse.,1
20,41,42,A man pours oil into a pot.,A man pours wine in a pot.,0
21,43,44,A man is playing a guitar.,A girl is playing a guitar.,0
22,45,46,A panda is sliding down a slide.,A panda slides down a slide.,1
23,47,48,A woman is eating something.,A woman is eating meat.,1
24,49,50,A woman peels a potato.,A woman is peeling a potato.,1
25,51,52,The boy fell off his bike.,A boy falls off his bike.,1
26,53,54,The woman is playing the flute.,A woman is playing a flute.,1
27,55,56,A rabbit is running from an eagle.,A hare is running from a eagle.,1
28,57,58,The woman is frying a breaded pork chop.,A woman is cooking a breaded pork chop.,1
29,59,60,A girl is flying a kite.,A girl running is flying a kite.,1
30,61,62,A man is riding a mechanical bull.,A man rode a mechanical bull.,1
31,63,64,The man is playing the guitar.,A man is playing a guitar.,1
32,65,66,A woman is dancing and singing with other women.,A woman is dancing and singing in the rain.,0
33,67,68,A man is slicing a bun.,A man is slicing an onion.,0
34,69,70,A man is pouring oil into a pan.,A man is pouring oil into a skillet.,1
35,71,72,A lion is playing with people.,A lion is playing with two men.,1
36,73,74,A dog rides a skateboard.,A dog is riding a skateboard.,1
37,75,76,Someone is carving a statue.,A man is carving a statue.,1
38,77,78,A woman is slicing an onion.,A man is cutting an onion.,0
39,79,80,A woman peels shrimp.,A woman is peeling shrimp.,1
40,81,82,A woman is frying fish.,A woman is cooking fish.,1
41,83,84,A woman is playing an electric guitar.,A woman is playing a guitar.,1
42,85,86,A baby tiger is playing with a ball.,A baby is playing with a doll.,0
43,87,88,A person is slicing a tomato.,A person is slicing some meat.,0
44,89,90,A person cuts an onion.,A person is cutting an onion.,1
45,91,92,A man is playing the piano.,A woman is playing the violin.,0
46,93,94,A woman is playing the flute.,A man is playing the guitar.,0
47,95,96,A man is cutting up a potato.,A man is cutting up carrots.,0
48,97,98,A kid is playing guitar.,A boy is playing a guitar.,1
49,99,100,A boy is playing guitar.,A man is playing a guitar.,1
50,101,102,A man is playing guitar.,A boy is playing a guitar.,1
51,103,104,A little boy is playing a keyboard.,A boy is playing key board.,1
52,105,106,A man is playing a guitar.,A man is playing an electric guitar.,1
53,107,108,A dog licks a baby.,A dog is licking a baby.,1
54,109,110,A woman is slicing an onion.,A man is cutting and onion.,0
55,111,112,A man is playing the guitar.,A man is playing the drums.,0
56,113,114,A woman is slicing a pepper.,A woman is cutting a red pepper.,1
57,115,116,A man is playing the drums.,A man plays the drum.,1
58,117,118,A woman rides a horse.,A woman is riding a horse.,1
59,119,120,A man is eating a banana by a tree.,A man is eating a banana.,1
60,121,122,A cat is playing a key board.,A man is playing two keyboards.,0
61,123,124,A man chops down a tree with an axe.,A man cut a tree with an axe.,1
62,125,126,A kid plays with a toy phone.,A little boy plays with a toy phone.,1
63,127,128,A man is riding a motorcycle.,A man is riding a horse.,0
64,129,130,A brown dog carrying a stick in its mouth.,A dog swimming with a stick in its mouth.,1
65,131,132,A squirrel is spinning around in circles.,A squirrel runs around in circles.,1
66,133,134,A man and a woman are kissing.,A man and woman kiss.,1
67,135,136,A man is getting into a car.,A man is getting into a car in a garage.,1
68,137,138,A man is dancing.,A man is talking.,0
69,139,140,A man is playing the guitar and singing.,A man is playing the guitar.,1
70,141,142,A person is cutting mushrooms.,A person is cutting mushrooms with a knife.,1
71,143,144,A tiger cub is making a sound.,A tiger is walking around.,0
72,145,146,A person is slicing onions.,A person is peeling an onion.,1
73,147,148,A man is playing the piano.,A man is playing the trumpet.,0
74,149,150,A woman is peeling a potato.,A woman is peeling an apple.,0
75,151,152,A panda is eating bamboo.,A panda bear is eating some bamboo.,1
76,153,154,A person is peeling an onion.,A person is peeling an eggplant.,0
77,155,156,A monkey pushes another monkey.,The monkey pushed the other monkey.,1
78,157,158,Scuba diver submerged in water.,The scuba diver is underwater.,1
79,159,160,A man is tying his shoe.,A man ties his shoe.,1
80,161,162,A boy is singing and playing the piano.,A boy is playing the piano.,1
81,163,164,A dog is eating water melon.,A dog is eating a piece of watermelon.,1
82,165,166,A woman is chopping broccoli.,A woman is chopping broccoli with a knife.,1
83,167,168,A man is peeling a potato.,A man peeled a potatoe.,1
84,169,170,A woman is playing a guitar.,A man plays a guitar.,0
85,171,172,A woman is slicing tomato.,A man is slicing onion.,0
86,173,174,A man swims underwater.,A woman is swimming underwater.,0
87,175,176,A man and woman are talking.,A man and woman is eating.,0
88,177,178,A small dog is chasing a yoga ball.,A dog is chasing a ball.,1
